,Date,Open,High,Low,Close,Crypto
3672,2021-05-09,59014.0,59318.0,56530.0,57982.0,BTC
3673,2021-05-09,3854.53,3980.33,3734.16,3909.82,ETH
3674,2021-05-09,346.04,369.34,335.13,361.52,LTC
3675,2021-05-10,58001.0,59552.0,54000.0,55328.0,BTC
3676,2021-05-10,3911.64,4209.43,3697.46,3899.32,ETH
3677,2021-05-10,361.8,413.22,341.31,360.8,LTC
3678,2021-05-11,55328.0,56949.0,54612.0,56942.0,BTC
3679,2021-05-11,3885.92,4140.0,3781.66,4140.0,ETH
3680,2021-05-11,359.8,375.51,345.76,373.64,LTC
3681,2021-05-12,56942.0,57977.0,53646.0,54540.0,BTC
3682,2021-05-12,4139.99,4372.35,3940.02,4104.21,ETH
3683,2021-05-12,373.35,394.06,338.62,357.44,LTC
3684,2021-05-13,54540.0,54820.0,46710.0,49253.0,BTC
3685,2021-05-13,4101.41,4241.63,3527.0,3714.2,ETH
3686,2021-05-13,356.98,359.99,292.44,305.38,LTC
3687,2021-05-14,49253.0,51543.0,48528.0,49351.0,BTC
3688,2021-05-14,3712.0,4175.68,3612.61,3990.47,ETH
3689,2021-05-14,305.49,339.28,300.26,318.89,LTC
3690,2021-05-15,49351.0,50661.0,47128.0,48255.0,BTC
3691,2021-05-15,3983.66,4133.31,3663.23,3794.99,ETH
3692,2021-05-15,318.79,331.78,296.86,309.58,LTC
3693,2021-05-16,48266.0,49812.0,43893.0,44062.0,BTC
3694,2021-05-16,3792.71,3878.01,3345.04,3360.34,ETH
3695,2021-05-16,309.22,323.68,282.1,283.39,LTC
3696,2021-05-17,44062.0,46552.0,42162.0,44843.0,BTC
3697,2021-05-17,3373.74,3589.0,3126.42,3440.1,ETH
3698,2021-05-17,284.54,296.94,262.38,291.25,LTC
3699,2021-05-18,44853.0,45816.0,42539.0,43318.0,BTC
3700,2021-05-18,3441.54,3564.21,3198.48,3434.23,ETH
